Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
Precious Achiuwa,C,23,TOR,55,1140,15.2,.554,.267,.307,9.3,24.4,16.3,6.3,1.3,2.6,11.4,19.4,,0.8,1.4,2.2,.093,,-1.4,-0.8,-2.3,-0.1
Steven Adams,C,29,MEM,42,1133,17.5,.564,.004,.490,20.1,25.3,22.7,11.2,1.5,3.7,19.8,14.6,,1.3,2.1,3.4,.144,,-0.3,0.9,0.6,0.7
Bam Adebayo,C,25,MIA,75,2598,20.1,.592,.011,.361,8.0,23.6,15.5,15.9,1.7,2.4,12.7,25.2,,3.6,3.8,7.4,.137,,0.8,0.8,1.5,2.3
Ochai Agbaji,SG,22,UTA,59,1209,9.5,.561,.591,.179,3.9,6.9,5.4,7.5,0.6,1.0,9.0,15.8,,0.9,0.4,1.3,.053,,-1.7,-1.4,-3.0,-0.3
Santi Aldama,PF,22,MEM,77,1682,13.9,.591,.507,.274,5.4,18.0,11.7,7.6,1.3,2.6,9.3,16.0,,2.1,2.4,4.6,.130,,-0.3,0.8,0.5,1.1
Nickeil Alexander-Walker,SG,24,UTAMIN,59,884,11.6,.565,.539,.203,1.9,10.5,6.3,16.7,1.7,2.0,14.6,17.9,,0.3,0.8,1.1,.062,,-1.4,0.4,-0.9,0.2
Grayson Allen,SG,27,MIL,72,1972,12.3,.612,.657,.226,3.4,9.0,6.3,10.9,1.5,0.6,10.5,14.6,,2.8,2.2,5.1,.123,,-0.6,0.7,0.1,1.0
Jarrett Allen,C,24,CLE,68,2220,19.9,.670,.016,.353,11.7,23.6,17.7,7.5,1.2,3.5,11.4,16.4,,5.5,4.0,9.5,.205,,1.3,1.0,2.4,2.4
Jose Alvarado,PG,24,NOP,61,1310,11.8,.525,.505,.164,2.4,9.8,6.1,19.9,2.5,0.7,13.4,19.8,,0.1,1.7,1.8,.066,,-2.0,0.7,-1.2,0.3
Kyle Anderson,PF,29,MIN,69,1957,14.8,.583,.212,.275,3.8,16.9,10.5,22.6,1.9,2.8,15.7,14.4,,2.5,2.6,5.1,.125,,0.2,2.3,2.5,2.2
Giannis Antetokounmpo,PF,28,MIL,63,2024,29.0,.605,.134,.604,7.3,30.0,19.1,33.2,1.2,2.1,13.2,38.8,,4.9,3.7,8.6,.204,,5.8,2.7,8.5,5.4
Thanasis Antetokounmpo,PF,30,MIL,37,206,6.7,.458,.174,.478,7.9,14.1,11.1,9.3,0.7,1.2,17.7,13.8,,-0.1,0.2,0.1,.022,,-6.5,-1.1,-7.6,-0.3
Cole Anthony,PG,22,ORL,60,1552,16.0,.570,.338,.279,3.4,17.6,10.5,22.9,1.2,1.9,11.7,21.5,,2.1,1.7,3.7,.116,,0.7,0.5,1.3,1.3
OG Anunoby,SF,25,TOR,67,2386,14.6,.586,.415,.189,4.2,12.1,7.9,8.0,2.7,2.0,12.1,19.5,,1.8,2.9,4.7,.094,,-0.3,0.7,0.4,1.5
Ryan Arcidiacono,PG,28,NYKPOR,20,172,2.7,.351,.622,.000,0.0,10.0,5.0,16.9,1.4,0.0,15.9,11.1,,-0.2,0.1,-0.2,-0.043,,-7.3,-1.5,-8.8,-0.3
Deni Avdija,SF,22,WAS,76,2020,11.2,.535,.401,.285,4.2,21.9,13.4,13.9,1.6,1.2,15.9,16.7,,0.0,2.3,2.3,.054,,-2.8,0.5,-2.3,-0.1
Deandre Ayton,C,24,PHO,67,2035,19.9,.617,.027,.225,9.2,27.5,18.1,9.2,0.9,2.3,11.0,22.9,,3.3,3.0,6.2,.147,,0.9,0.0,0.9,1.5
Udoka Azubuike,C,23,UTA,36,359,16.1,.774,.000,.278,9.5,26.1,17.9,4.3,0.8,3.5,18.2,11.5,,0.6,0.4,1.0,.134,,-1.2,0.5,-0.6,0.1
Marvin Bagley III,C,23,DET,42,990,17.2,.587,.173,.283,10.2,20.2,15.1,5.9,0.9,2.7,9.7,20.4,,1.3,0.7,2.0,.095,,0.3,-1.2,-0.9,0.3
Patrick Baldwin Jr.,SF,20,GSW,31,226,11.3,.546,.771,.055,0.5,18.6,9.7,6.9,1.3,1.6,9.0,22.8,,-0.1,0.3,0.1,.029,,-0.7,-1.4,-2.1,0.0
LaMelo Ball,PG,21,CHO,36,1268,17.9,.541,.531,.169,3.5,16.2,9.7,38.7,1.7,0.8,14.3,30.0,,0.6,1.2,1.8,.068,,3.2,-0.8,2.4,1.4
Mo Bamba,C,24,ORLLAL,49,769,15.7,.602,.515,.257,8.5,24.2,16.4,8.7,0.8,5.3,10.1,16.6,,1.1,1.1,2.2,.139,,-0.2,0.7,0.5,0.5
Paolo Banchero,PF,20,ORL,72,2430,14.9,.529,.254,.476,3.9,19.3,11.6,17.2,1.2,1.5,12.8,27.5,,-0.3,2.6,2.4,.047,,-0.7,-0.7,-1.5,0.3
Desmond Bane,SG,24,MEM,58,1841,19.1,.606,.433,.218,2.5,14.3,8.4,20.8,1.4,1.1,10.9,26.1,,3.5,2.3,5.8,.151,,3.3,0.1,3.5,2.5
Dalano Banton,PG,23,TOR,31,279,14.9,.505,.392,.185,4.2,14.9,9.1,19.3,2.3,4.5,11.4,24.2,,0.0,0.4,0.4,.064,,-1.1,0.6,-0.5,0.1
Dominick Barlow,PF,19,SAS,28,408,12.4,.567,.047,.291,11.9,15.6,13.7,7.6,1.2,3.8,13.4,11.3,,0.5,0.2,0.7,.082,,-3.7,-0.9,-4.6,-0.3
